id,dataset,constraint_tags,assistant_generated,label,length_ok,keyword_ok,json_ok,no_explanations_ok,tone_concise_ok,reasons
sharegpt_en:1357,sharegpt,no_explanations,yes,1.0,,,,True,,no_explanations_ok(1 words)
alpaca:6356,alpaca,length_limit,This is a deliberately long answer that is likely to exceed any short word-limit constraint.,1.0,True,,,,,length_ok(15/100)
alpaca:10165,alpaca,length_limit,Short answer within limit.,,,,,,,length_limit_unparsed
flan:2476,flan,no_explanations,"yes, because the premise clearly entails the hypothesis.",0.0,,,,False,,no_explanations_violation(explanation_marker)
alpaca:1655,alpaca,length_limit,Short answer within limit.,1.0,True,,,,,length_ok(4/50)
flan:729,flan,no_explanations,"yes, because the premise clearly entails the hypothesis.",0.0,,,,False,,no_explanations_violation(explanation_marker)
alpaca:10236,alpaca,format_json,"{""answer"": ""ok"", ""value"": 1}",1.0,,,True,,,json_ok
sharegpt_en:7807,sharegpt,tone_concise,This is a generic dummy answer.,1.0,,,,,True,tone_concise_ok(6/80)
flan:880,flan,no_explanations,yes,1.0,,,,True,,no_explanations_ok(1 words)
sharegpt_en:5801,sharegpt,format_json,not valid json,0.0,,,False,,,json_invalid
sharegpt_en:2199,sharegpt,no_explanations,yes,1.0,,,,True,,no_explanations_ok(1 words)
flan:2207,flan,no_explanations,"yes, because the premise clearly entails the hypothesis.",0.0,,,,False,,no_explanations_violation(explanation_marker)
flan:1368,flan,no_explanations,yes,1.0,,,,True,,no_explanations_ok(1 words)
sharegpt_en:5197,sharegpt,no_explanations,"yes, because the premise clearly entails the hypothesis.",0.0,,,,False,,no_explanations_violation(explanation_marker)
sharegpt_en:2298,sharegpt,length_limit,Short answer within limit.,,,,,,,length_limit_unparsed
alpaca:23429,alpaca,length_limit,This is a deliberately long answer that is likely to exceed any short word-limit constraint.,1.0,True,,,,,length_ok(15/20)
sharegpt_en:7183,sharegpt,persona,This is a generic dummy answer.,,,,,,,
sharegpt_en:7393,sharegpt,persona,This is a generic dummy answer.,,,,,,,
